investigator,url,veg_class,location,plotid,subsample,plot_type,plot_size,year,NPP
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1983,235.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1983,110.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1983,135.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1983,163.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1983,172.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1983,176.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1983,125.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1983,155.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1983,156.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1983,199.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1983,211.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1983,46.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1983,65.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1983,106.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1983,116.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1983,139.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1983,138.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1983,139.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1983,149.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1983,190.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1983,193.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1983,232.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1983,286.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1983,292.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1983,297.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1983,304.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1983,152.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1983,156.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1983,194.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1983,266.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1983,289.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1983,158.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1983,169.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1983,193.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1983,239.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1983,286.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1983,37.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1983,54.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1983,84.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1983,92.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1983,119.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1983,54.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1983,60.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1983,63.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1983,94.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1983,106.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1984,124.80
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1984,209.54
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1984,245.68
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1984,348.99
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1984,356.98
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1984,159.33
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1984,172.63
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1984,175.29
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1984,193.15
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1984,261.92
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1984,175.60
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1984,188.62
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1984,220.58
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1984,239.04
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1984,259.36
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1984,51.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1984,63.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1984,69.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,7,,nodal,unknown,1984,150.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1984,114.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1984,151.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1984,175.00
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1984,217.97
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,WM,saddle,9,,nodal,unknown,1984,228.73
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1984,217.42
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1984,237.34
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1984,244.29
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1984,265.03
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,10,,nodal,unknown,1984,292.86
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1984,182.52
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1984,194.43
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1984,304.03
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1984,309.66
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,11,,nodal,unknown,1984,475.81
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1984,280.42
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1984,307.73
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1984,379.01
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,12,,nodal,unknown,1984,672.34
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1984,70.16
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1984,79.70
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1984,96.74
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1984,100.71
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,16,,nodal,unknown,1984,138.74
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1984,15.98
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1984,46.58
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1984,53.43
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1984,72.90
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,SB,saddle,19,,nodal,unknown,1984,98.61
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1985,132.84
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1985,317.28
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1985,324.46
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,FF,saddle,1,,nodal,unknown,1985,377.82
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1985,202.54
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1985,255.88
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1985,261.19
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1985,343.06
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,DM,saddle,2,,nodal,unknown,1985,424.47
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1985,202.65
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1985,247.67
Walker,http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw,MM,saddle,3,,nodal,unknown,1985,262.73
