"season","point_ID","max.dep"
1998,16,120
1998,17,50
1998,18,10
1998,19,10
1998,20,0
1998,21,215
1998,22,225
1998,23,300
1998,24,300
1998,25,135
1998,26,70
1998,27,70
1998,28,110
1998,29,40
1998,30,0
1998,31,215
1998,32,160
1998,33,275
1998,34,295
1998,35,235
1998,36,85
1998,37,110
1998,38,200
1998,39,160
1998,40,0
1998,41,170
1998,42,225
1998,43,340
1998,44,310
1998,45,330
1998,46,240
1998,47,65
1998,48,10
1998,49,50
1998,50,10
1998,51,185
1998,52,150
1998,53,240
1998,54,315
1998,55,430
1998,56,415
1998,57,70
1998,58,55
1998,59,30
1998,60,50
1998,61,90
1998,62,190
1998,63,295
1998,64,155
1998,65,445
1998,66,515
1998,67,65
1998,68,55
1998,69,25
1998,70,5
1998,71,110
1998,72,150
1998,73,240
1998,74,335
1998,75,290
1998,76,365
1998,77,150
1998,78,0
1998,79,50
1998,80,40
1998,101,0
1998,201,0
1998,301,0
1998,401,0
1998,501,0
1998,601,0
1998,701,0
1998,801,50
1999,1,185
1999,2,180
1999,3,190
1999,4,210
1999,5,220
1999,6,190
1999,7,80
1999,8,60
1999,9,75
1999,10,30
1999,11,210
1999,12,230
1999,13,300
1999,14,265
1999,15,240
1999,16,190
1999,17,95
1999,18,35
1999,19,30
1999,20,30
1999,21,240
1999,22,310
1999,23,360
1999,24,305
1999,25,220
1999,26,150
1999,27,110
1999,28,130
1999,29,35
1999,30,40
1999,31,200
1999,32,295
1999,33,335
1999,34,300
1999,35,270
1999,36,125
1999,37,135
1999,38,190
1999,39,40
1999,40,30
1999,41,170
1999,42,235
1999,43,330
1999,44,280
1999,45,375
1999,46,305
1999,47,100
1999,48,50
1999,49,80
1999,50,40
1999,51,240
1999,52,100
1999,53,275
1999,54,240
1999,55,440
1999,56,470
1999,57,100
1999,58,90
1999,59,50
1999,60,90
1999,61,105
1999,62,220
1999,63,270
1999,64,160
1999,65,430
1999,66,460
1999,67,85
1999,68,100
1999,69,50
1999,70,30
1999,71,110
1999,72,150
1999,73,230
1999,74,400
1999,75,370
1999,76,420
1999,77,190
1999,78,35
1999,79,85
1999,80,95
1999,101,45
1999,201,40
1999,301,60
1999,401,55
1999,501,40
1999,601,40
1999,701,40
1999,801,70
2000,1,200
2000,2,230
2000,3,205
2000,4,183
2000,5,158
2000,6,150
2000,7,10
2000,8,30
2000,9,20
2000,10,0
2000,11,270
2000,12,209
2000,13,280
2000,14,200
2000,15,150
2000,16,110
2000,17,40
2000,18,10
2000,19,5
2000,20,0
2000,21,244
2000,22,250
2000,23,285
2000,24,240
2000,25,110
2000,26,50
2000,27,70
2000,28,90
2000,29,5
2000,30,5
2000,31,275
2000,32,185
2000,33,275
2000,34,250
2000,35,202
2000,36,35
2000,37,90
2000,38,180
2000,39,10
2000,40,5
2000,41,205
2000,42,253
2000,43,330
2000,44,260
2000,45,282
2000,46,185
2000,47,40
2000,48,10
2000,49,35
2000,50,10
2000,51,190
2000,52,200
2000,53,300
2000,54,320
2000,55,375
2000,56,335
2000,57,20
2000,58,30
2000,59,10
2000,60,50
2000,61,115
2000,62,280
2000,63,330
2000,64,205
2000,65,400
2000,66,365
2000,67,30
2000,68,50
2000,69,20
2000,70,5
2000,71,105
2000,72,220
2000,73,330
2000,74,360
2000,75,295
2000,76,341
2000,77,110
2000,78,10
2000,79,50
2000,80,65
2000,101,0
2000,201,0
2000,301,0
2000,401,0
2000,501,10
2000,601,10
2000,701,0
2000,801,20
2001,1,160
2001,2,240
2001,3,120
2001,4,130
2001,5,170
2001,6,140
2001,7,25
2001,8,30
2001,9,35
2001,10,10
2001,11,240
2001,12,140
2001,13,230
2001,14,170
2001,15,170
2001,16,120
2001,17,50
2001,18,20
2001,19,15
