"investigator","url","veg_class","location","plotid","subsample","plot_type","plot_size","year","NPP"
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1983,189
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1983,235
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1983,110
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1983,135
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1983,163
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1983,172
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1983,176
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1983,125
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1983,155
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1983,156
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1983,199
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1983,211
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1983,46
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1983,65
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1983,106
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1983,116
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1983,139
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1983,138
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1983,139
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1983,149
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1983,190
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1983,193
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1983,232
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1983,286
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1983,292
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1983,297
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1983,304
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1983,152
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1983,156
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1983,194
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1983,266
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1983,289
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1983,158
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1983,169
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1983,193
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1983,239
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",12,"","nodal","unknown",1983,286
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1983,37
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1983,54
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1983,84
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1983,92
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",16,"","nodal","unknown",1983,119
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1983,54
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1983,60
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1983,63
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1983,94
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","SB","saddle",19,"","nodal","unknown",1983,106
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1984,124.8
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1984,209.54
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1984,245.68
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1984,348.99
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","FF","saddle",1,"","nodal","unknown",1984,356.98
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1984,159.33
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1984,172.63
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1984,175.29
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1984,193.15
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",2,"","nodal","unknown",1984,261.92
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1984,175.6
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1984,188.62
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1984,220.58
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1984,239.04
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",3,"","nodal","unknown",1984,259.36
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1984,51
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1984,63
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1984,69
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",7,"","nodal","unknown",1984,150
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1984,114
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1984,151
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1984,175
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1984,217.97
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","WM","saddle",9,"","nodal","unknown",1984,228.73
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1984,217.42
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1984,237.34
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1984,244.29
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1984,265.03
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","MM","saddle",10,"","nodal","unknown",1984,292.86
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1984,182.52
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1984,194.43
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1984,304.03
"Walker","http://niwot.colorado.edu/exec/.extracttoolA?primprod.mw","DM","saddle",11,"","nodal","unknown",1984,309.66
