"A","year","species"
2.44238116822382,1990,"DECE"
2.66301580265509,1990,"DECE"
3.53543381601918,1990,"DECE"
3.64499206619531,1990,"DECE"
3.83224598500481,1990,"DECE"
4.53199146219088,1990,"DECE"
3.86732333037209,1990,"DECE"
3.07440488627217,1990,"DECE"
2.73628864327625,1990,"DECE"
2.15479064565884,1990,"DECE"
2.7230653621776,1990,"DECE"
3.63332544612458,1990,"DECE"
3.88766029618339,1990,"DECE"
4.38580753224332,1990,"DECE"
4.58787035429619,1990,"DECE"
5.1133834117117,1990,"DECE"
4.06503051022806,1990,"DECE"
4.11612534795112,1990,"DECE"
2.97862385896208,1990,"DECE"
2.33549055952493,1990,"DECE"
3.3809978578043,1990,"DECE"
2.45160784210866,1990,"DECE"
4.04186776806292,1990,"DECE"
4.54672581967857,1990,"DECE"
4.93615268813071,1990,"DECE"
5.14587363077523,1990,"DECE"
4.98879158372092,1990,"DECE"
4.27216091693434,1990,"DECE"
3.21626734131776,1990,"DECE"
2.46805937699921,1990,"DECE"
2.79990112687569,1990,"DECE"
3.69952824777691,1990,"DECE"
4.0552034284549,1990,"DECE"
4.40554126089423,1990,"DECE"
4.82344133465582,1990,"DECE"
4.67447908662158,1990,"DECE"
5.23228569391017,1990,"DECE"
3.33416434397037,1990,"DECE"
3.3619918805236,1990,"DECE"
2.5262558121432,1990,"DECE"
2.52405596748083,1990,"DECE"
3.17480253333652,1990,"DECE"
3.06872286418981,1990,"DECE"
3.7190599892677,1990,"DECE"
4.76352589105133,1990,"DECE"
3.59910490685883,1990,"DECE"
4.59951091743023,1990,"DECE"
3.73570936950105,1990,"DECE"
3.0973047236607,1990,"DECE"
2.61888795641365,1990,"DECE"
2.19015640967488,1990,"DECE"
2.6828103147889,1990,"DECE"
3.35303271927683,1990,"DECE"
3.35485990410031,1990,"DECE"
3.68512725516424,1990,"DECE"
3.84494799689099,1990,"DECE"
3.47786288088764,1990,"DECE"
2.98974187310298,1990,"DECE"
2.85336460203955,1990,"DECE"
1.93078843648224,1990,"DECE"
1.94744603878331,1990,"DECE"
2.20220853022876,1990,"DECE"
2.59843599718292,1990,"DECE"
2.86208718112024,1990,"DECE"
2.91850132950431,1990,"DECE"
2.83038547870045,1990,"DECE"
2.69711114699813,1990,"DECE"
2.53508239887424,1990,"DECE"
2.34298254243779,1990,"DECE"
2.24115019508854,1990,"DECE"
1.70302697500264,1990,"DECE"
1.99079415716763,1990,"DECE"
2.21826457610369,1990,"DECE"
2.13638874324319,1990,"DECE"
2.45303737573348,1990,"DECE"
2.41007856153242,1990,"DECE"
2.16233332189367,1990,"DECE"
2.1210346887906,1990,"DECE"
1.94918122768161,1990,"DECE"
1.79749160707319,1990,"DECE"
1.80518124241078,1990,"DECE"
1.90649478546219,1990,"DECE"
2.06504678726044,1990,"DECE"
2.04316411355247,1990,"DECE"
2.15357944537602,1990,"DECE"
2.15631701433216,1990,"DECE"
1.87116573461233,1990,"DECE"
1.62760731230258,1990,"DECE"
2.15163188494945,1997,"DECE"
2.37591943339062,1997,"DECE"
3.12047381548021,1997,"DECE"
3.23432799214935,1997,"DECE"
3.22112898336643,1997,"DECE"
4.11819267079721,1997,"DECE"
3.32825543239699,1997,"DECE"
2.73447022002092,1997,"DECE"
2.40578185530366,1997,"DECE"
1.93192998526232,1997,"DECE"
2.42035206008239,1997,"DECE"
3.21892570222267,1997,"DECE"
3.40515784693985,1997,"DECE"
3.83319499059484,1997,"DECE"
4.08550907330918,1997,"DECE"
4.32900585246774,1997,"DECE"
3.746746792272,1997,"DECE"
3.59051102516356,1997,"DECE"
2.65381787224449,1997,"DECE"
2.08001259802762,1997,"DECE"
3.04086015293501,1997,"DECE"
2.11299172286704,1997,"DECE"
