year,collection_date,plot,subsample,veg_class,NPP,veg_moist 
2013,7/25/2013,39,A,DM,109,0
2013,7/25/2013,401,A,DM,131,0
2013,7/25/2013,501,A,DM,136,0
2013,7/25/2013,501,B,DM,129,0
2014,7/14/2014,9,A,DM,143,0
2014,7/14/2014,9,B,DM,169,0
2014,7/14/2014,18,A,DM,151,0
2014,7/14/2014,18,B,DM,99,0
2014,7/14/2014,30,A,DM,114,0
2014,7/14/2014,30,B,DM,70,0
2014,7/14/2014,39,A,DM,84,0
2014,7/14/2014,39,B,DM,118,0
2014,7/14/2014,50,B,DM,108,0
2014,7/14/2014,59,A,DM,193,0
2014,7/14/2014,70,A,DM,120,0
2014,7/14/2014,70,B,DM,113,0
2014,7/15/2014,40,A,DM,120,0
2014,7/15/2014,40,B,DM,143,0
2014,7/15/2014,48,A,DM,170,0
2014,7/15/2014,48,B,DM,107,0
2014,7/15/2014,401,A,DM,73,0
2014,7/15/2014,401,B,DM,95,0
2014,7/16/2014,50,A,DM,84,0
2014,7/16/2014,59,B,DM,131,0
2014,7/16/2014,69,A,DM,142,0
2014,7/16/2014,69,B,DM,158,0
2014,7/16/2014,78,A,DM,120,0
2014,7/16/2014,78,B,DM,164,0
2014,7/16/2014,501,A,DM,217,0
2014,7/16/2014,501,B,DM,263,0
2014,7/16/2014,601,A,DM,168,0
2014,7/16/2014,601,B,DM,191,0
2014,7/16/2014,701,A,DM,106,0
2014,7/16/2014,701,B,DM,175,0
2014,7/16/2014,801,A,DM,202,0
2014,7/16/2014,801,B,DM,128,0
2015,7/20/2015,30,A,DM,136,0
2015,7/20/2015,30,B,DM,103,0
2015,7/24/2015,9,A,DM,134,0
2015,7/24/2015,9,B,DM,199,0
2015,7/24/2015,39,A,DM,159,0
2015,7/24/2015,39,B,DM,254,0
2015,7/24/2015,40,A,DM,160,0
2015,7/24/2015,40,B,DM,196,0
2015,7/24/2015,401,A,DM,136,0
2015,7/24/2015,401,B,DM,93,0
2015,7/25/2015,18,A,DM,243,0
2015,7/25/2015,501,A,DM,160,0
2015,7/25/2015,501,B,DM,137,0
2015,7/29/2015,18,B,DM,166,0
2015,7/29/2015,50,A,DM,113,0
2015,7/29/2015,50,B,DM,80,0
2015,7/29/2015,59,A,DM,206,0
2015,7/29/2015,59,B,DM,210,0
2015,7/29/2015,601,A,DM,172,0
2015,7/29/2015,601,B,DM,343,0
2015,7/31/2015,70,A,DM,143,0
2015,7/31/2015,70,B,DM,128,0
2015,7/31/2015,701,A,DM,213,0
2015,7/31/2015,701,B,DM,211,0
2015,7/31/2015,801,A,DM,250,0
2015,7/31/2015,801,B,DM,180,0
2015,8/3/2015,69,A,DM,126,0
2015,8/3/2015,69,B,DM,152,0
2015,8/4/2015,48,A,DM,323,0
2015,8/4/2015,48,B,DM,193,0
2015,8/4/2015,78,A,DM,122,0
2015,8/4/2015,78,B,DM,159,0
2016,7/15/2016,9,A,DM,164,0
2016,7/15/2016,9,B,DM,218,0
2016,7/16/2016,69,B,DM,181,0
2016,7/18/2016,30,A,DM,243,0
2016,7/18/2016,30,B,DM,140,0
2016,7/18/2016,39,A,DM,201,0
2016,7/18/2016,39,B,DM,94,0
2016,7/18/2016,40,A,DM,200,0
2016,7/18/2016,40,B,DM,236,0
2016,7/18/2016,401,A,DM,164,0
2016,7/18/2016,401,B,DM,103,0
2016,7/18/2016,501,A,DM,255,0
2016,7/20/2016,48,A,DM,99,0
2016,7/20/2016,48,B,DM,145,0
2016,7/20/2016,50,A,DM,133,0
2016,7/20/2016,50,B,DM,101,0
2016,7/20/2016,59,A,DM,204,0
2016,7/20/2016,59,B,DM,122,0
2016,7/20/2016,69,A,DM,144,0
2016,7/20/2016,70,A,DM,222,0
2016,7/20/2016,70,B,DM,156,0
2016,7/20/2016,78,A,DM,211,0
2016,7/20/2016,78,B,DM,260,0
2016,7/20/2016,501,B,DM,200,0
2016,7/20/2016,601,A,DM,242,0
2016,7/20/2016,601,B,DM,175,0
2016,7/20/2016,701,A,DM,106,0
2016,7/20/2016,701,B,DM,222,0
2016,7/20/2016,801,A,DM,110,0
2016,7/20/2016,801,B,DM,148,0
2016,8/1/2016,18,A,DM,232,0
2016,8/1/2016,18,B,DM,173,0
2017,7/12/2017,9,A,DM,111,0
2017,7/12/2017,9,B,DM,105,0
2017,7/19/2017,601,A,DM,173,0
