"","DECE","GEROT","other","KOMY"
"DECE",1,0.374077803326222,-0.751655291379763,0.5704822468028
"GEROT",0.374077803326222,1,-0.63807380295672,0.531532087713172
"other",-0.751655291379763,-0.63807380295672,1,-0.876507201128859
"KOMY",0.5704822468028,0.531532087713172,-0.876507201128859,1
