"LTER_site","local_site","point_ID","date","depth_stake","depth_n","depth_e","depth_s","depth_w","mean_depth","num_meas","year","month","seas","jd"
"NWT","sdl","9","1993-11-02",12,NA,NA,NA,NA,12,1,1993,11,"1994",32
"NWT","sdl","14","1993-11-02",20,NA,NA,NA,NA,20,1,1993,11,"1994",32
"NWT","sdl","25","1993-11-02",25,NA,NA,NA,NA,25,1,1993,11,"1994",32
"NWT","sdl","26","1993-11-02",20,NA,NA,NA,NA,20,1,1993,11,"1994",32
"NWT","sdl","40","1993-11-02",4,NA,NA,NA,NA,4,1,1993,11,"1994",32
"NWT","sdl","59","1993-11-02",5,NA,NA,NA,NA,5,1,1993,11,"1994",32
"NWT","sdl","70","1993-11-02",5,NA,NA,NA,NA,5,1,1993,11,"1994",32
"NWT","sdl","9","1993-11-20",10,NA,NA,NA,NA,10,1,1993,11,"1994",50
"NWT","sdl","14","1993-11-20",60,NA,NA,NA,NA,60,1,1993,11,"1994",50
"NWT","sdl","25","1993-11-20",20,NA,NA,NA,NA,20,1,1993,11,"1994",50
"NWT","sdl","26","1993-11-20",20,NA,NA,NA,NA,20,1,1993,11,"1994",50
"NWT","sdl","40","1993-11-20",5,NA,NA,NA,NA,5,1,1993,11,"1994",50
"NWT","sdl","59","1993-11-20",5,NA,NA,NA,NA,5,1,1993,11,"1994",50
"NWT","sdl","70","1993-11-20",8,NA,NA,NA,NA,8,1,1993,11,"1994",50
"NWT","sdl","201","1993-11-20",3,NA,NA,NA,NA,3,1,1993,11,"1994",50
"NWT","sdl","9","1993-12-11",5,5,10,5,5,6,5,1993,12,"1994",71
"NWT","sdl","14","1993-12-11",160,NA,NA,NA,NA,160,1,1993,12,"1994",71
"NWT","sdl","25","1993-12-11",5,NA,NA,NA,NA,5,1,1993,12,"1994",71
"NWT","sdl","26","1993-12-11",10,NA,NA,NA,NA,10,1,1993,12,"1994",71
"NWT","sdl","40","1993-12-11",5,5,0,0,5,3,5,1993,12,"1994",71
"NWT","sdl","59","1993-12-11",5,10,5,10,5,7,5,1993,12,"1994",71
"NWT","sdl","70","1993-12-11",5,0,5,5,10,5,5,1993,12,"1994",71
"NWT","sdl","201","1993-12-11",5,0,0,0,0,1,5,1993,12,"1994",71
"NWT","sdl","9","1993-12-30",9,5,10,5,10,8,5,1993,12,"1994",90
"NWT","sdl","14","1993-12-30",60,NA,NA,NA,NA,60,1,1993,12,"1994",90
"NWT","sdl","25","1993-12-30",10,NA,NA,NA,NA,10,1,1993,12,"1994",90
"NWT","sdl","26","1993-12-30",7,3,10,10,5,7,5,1993,12,"1994",90
"NWT","sdl","40","1993-12-30",2,2,2,2,2,2,5,1993,12,"1994",90
"NWT","sdl","59","1993-12-30",3,10,10,3,5,6,5,1993,12,"1994",90
"NWT","sdl","70","1993-12-30",5,2,10,10,10,7,5,1993,12,"1994",90
"NWT","sdl","201","1993-12-30",0,2,1,1,1,1,5,1993,12,"1994",90
"NWT","sdl","9","1994-01-15",5,NA,NA,NA,NA,5,1,1994,1,"1994",108
"NWT","sdl","14","1994-01-15",60,NA,NA,NA,NA,60,1,1994,1,"1994",108
"NWT","sdl","25","1994-01-15",10,NA,NA,NA,NA,10,1,1994,1,"1994",108
"NWT","sdl","26","1994-01-15",5,NA,NA,NA,NA,5,1,1994,1,"1994",108
"NWT","sdl","40","1994-01-15",0,NA,NA,NA,NA,0,1,1994,1,"1994",108
"NWT","sdl","59","1994-01-15",5,NA,NA,NA,NA,5,1,1994,1,"1994",108
"NWT","sdl","70","1994-01-15",5,NA,NA,NA,NA,5,1,1994,1,"1994",108
"NWT","sdl","201","1994-01-15",0,NA,NA,NA,NA,0,1,1994,1,"1994",108
"NWT","sdl","9","1994-02-04",4,NA,NA,NA,NA,4,1,1994,2,"1994",128
"NWT","sdl","14","1994-02-04",50,NA,NA,NA,NA,50,1,1994,2,"1994",128
"NWT","sdl","25","1994-02-04",28,NA,NA,NA,NA,28,1,1994,2,"1994",128
"NWT","sdl","26","1994-02-04",5,NA,NA,NA,NA,5,1,1994,2,"1994",128
"NWT","sdl","40","1994-02-04",4,NA,NA,NA,NA,4,1,1994,2,"1994",128
"NWT","sdl","59","1994-02-04",4,NA,NA,NA,NA,4,1,1994,2,"1994",128
"NWT","sdl","70","1994-02-04",7,NA,NA,NA,NA,7,1,1994,2,"1994",128
"NWT","sdl","201","1994-02-04",0,NA,NA,NA,NA,0,1,1994,2,"1994",128
"NWT","sdl","9","1994-02-26",20,NA,NA,NA,NA,20,1,1994,2,"1994",150
"NWT","sdl","14","1994-02-26",80,NA,NA,NA,NA,80,1,1994,2,"1994",150
"NWT","sdl","25","1994-02-26",140,NA,NA,NA,NA,140,1,1994,2,"1994",150
"NWT","sdl","26","1994-02-26",10,NA,NA,NA,NA,10,1,1994,2,"1994",150
"NWT","sdl","40","1994-02-26",5,NA,NA,NA,NA,5,1,1994,2,"1994",150
"NWT","sdl","59","1994-02-26",5,NA,NA,NA,NA,5,1,1994,2,"1994",150
"NWT","sdl","70","1994-02-26",10,NA,NA,NA,NA,10,1,1994,2,"1994",150
"NWT","sdl","201","1994-02-26",5,NA,NA,NA,NA,5,1,1994,2,"1994",150
"NWT","sdl","9","1994-03-17",25,NA,NA,NA,NA,25,1,1994,3,"1994",169
"NWT","sdl","14","1994-03-17",100,NA,NA,NA,NA,100,1,1994,3,"1994",169
"NWT","sdl","25","1994-03-17",55,NA,NA,NA,NA,55,1,1994,3,"1994",169
"NWT","sdl","26","1994-03-17",15,NA,NA,NA,NA,15,1,1994,3,"1994",169
"NWT","sdl","40","1994-03-17",6,NA,NA,NA,NA,6,1,1994,3,"1994",169
"NWT","sdl","59","1994-03-17",5,NA,NA,NA,NA,5,1,1994,3,"1994",169
"NWT","sdl","70","1994-03-17",10,NA,NA,NA,NA,10,1,1994,3,"1994",169
"NWT","sdl","201","1994-03-17",10,NA,NA,NA,NA,10,1,1994,3,"1994",169
"NWT","sdl","9","1994-04-09",35,35,25,25,35,31,5,1994,4,"1994",192
"NWT","sdl","40","1994-04-09",8,5,2,10,8,7,5,1994,4,"1994",192
"NWT","sdl","59","1994-04-09",10,8,5,5,10,8,5,1994,4,"1994",192
"NWT","sdl","70","1994-04-09",10,8,10,10,10,10,5,1994,4,"1994",192
"NWT","sdl","201","1994-04-09",10,7,5,1,1,5,5,1994,4,"1994",192
"NWT","sdl","9","1994-04-18",35,NA,NA,NA,NA,35,1,1994,4,"1994",201
"NWT","sdl","14","1994-04-18",158,NA,NA,NA,NA,158,1,1994,4,"1994",201
"NWT","sdl","25","1994-04-18",90,NA,NA,NA,NA,90,1,1994,4,"1994",201
"NWT","sdl","26","1994-04-18",30,NA,NA,NA,NA,30,1,1994,4,"1994",201
"NWT","sdl","40","1994-04-18",0,NA,NA,NA,NA,0,1,1994,4,"1994",201
"NWT","sdl","59","1994-04-18",0,NA,NA,NA,NA,0,1,1994,4,"1994",201
"NWT","sdl","70","1994-04-18",0,NA,NA,NA,NA,0,1,1994,4,"1994",201
"NWT","sdl","201","1994-04-18",0,NA,NA,NA,NA,0,1,1994,4,"1994",201
"NWT","sdl","9","1994-05-14",0,NA,NA,NA,NA,0,1,1994,5,"1994",227
"NWT","sdl","14","1994-05-14",110,NA,NA,NA,NA,110,1,1994,5,"1994",227
"NWT","sdl","25","1994-05-14",10,NA,NA,NA,NA,10,1,1994,5,"1994",227
"NWT","sdl","26","1994-05-14",0,NA,NA,NA,NA,0,1,1994,5,"1994",227
"NWT","sdl","40","1994-05-14",0,NA,NA,NA,NA,0,1,1994,5,"1994",227
"NWT","sdl","59","1994-05-14",0,NA,NA,NA,NA,0,1,1994,5,"1994",227
"NWT","sdl","70","1994-05-14",0,NA,NA,NA,NA,0,1,1994,5,"1994",227
"NWT","sdl","201","1994-05-14",0,NA,NA,NA,NA,0,1,1994,5,"1994",227
"NWT","sdl","9","1994-06-02",0,NA,NA,NA,NA,0,1,1994,6,"1994",246
"NWT","sdl","14","1994-06-02",70,NA,NA,NA,NA,70,1,1994,6,"1994",246
"NWT","sdl","25","1994-06-02",0,NA,NA,NA,NA,0,1,1994,6,"1994",246
"NWT","sdl","26","1994-06-02",0,NA,NA,NA,NA,0,1,1994,6,"1994",246
"NWT","sdl","40","1994-06-02",0,NA,NA,NA,NA,0,1,1994,6,"1994",246
"NWT","sdl","59","1994-06-02",0,NA,NA,NA,NA,0,1,1994,6,"1994",246
"NWT","sdl","70","1994-06-02",0,NA,NA,NA,NA,0,1,1994,6,"1994",246
"NWT","sdl","201","1994-06-02",0,NA,NA,NA,NA,0,1,1994,6,"1994",246
"NWT","sdl","9","1997-11-28",0,NA,NA,NA,NA,0,1,1997,11,"1998",58
"NWT","sdl","14","1997-11-28",60,NA,NA,NA,NA,60,1,1997,11,"1998",58
"NWT","sdl","25","1997-11-28",0,NA,NA,NA,NA,0,1,1997,11,"1998",58
"NWT","sdl","26","1997-11-28",10,NA,NA,NA,NA,10,1,1997,11,"1998",58
"NWT","sdl","40","1997-11-28",0,NA,NA,NA,NA,0,1,1997,11,"1998",58
"NWT","sdl","59","1997-11-28",0,NA,NA,NA,NA,0,1,1997,11,"1998",58
"NWT","sdl","70","1997-11-28",0,NA,NA,NA,NA,0,1,1997,11,"1998",58
"NWT","sdl","201","1997-11-28",0,NA,NA,NA,NA,0,1,1997,11,"1998",58
"NWT","sdl","9","1997-12-18",0,NA,NA,NA,NA,0,1,1997,12,"1998",78
"NWT","sdl","14","1997-12-18",80,NA,NA,NA,NA,80,1,1997,12,"1998",78
"NWT","sdl","25","1997-12-18",10,NA,NA,NA,NA,10,1,1997,12,"1998",78
"NWT","sdl","26","1997-12-18",0,NA,NA,NA,NA,0,1,1997,12,"1998",78
"NWT","sdl","40","1997-12-18",0,NA,NA,NA,NA,0,1,1997,12,"1998",78
"NWT","sdl","59","1997-12-18",0,NA,NA,NA,NA,0,1,1997,12,"1998",78
"NWT","sdl","70","1997-12-18",0,NA,NA,NA,NA,0,1,1997,12,"1998",78
"NWT","sdl","201","1997-12-18",0,NA,NA,NA,NA,0,1,1997,12,"1998",78
"NWT","sdl","9","1998-01-09",0,NA,NA,NA,NA,0,1,1998,1,"1998",102
"NWT","sdl","14","1998-01-09",75,NA,NA,NA,NA,75,1,1998,1,"1998",102
"NWT","sdl","25","1998-01-09",20,NA,NA,NA,NA,20,1,1998,1,"1998",102
"NWT","sdl","26","1998-01-09",5,NA,NA,NA,NA,5,1,1998,1,"1998",102
"NWT","sdl","40","1998-01-09",0,NA,NA,NA,NA,0,1,1998,1,"1998",102
"NWT","sdl","59","1998-01-09",0,NA,NA,NA,NA,0,1,1998,1,"1998",102
"NWT","sdl","70","1998-01-09",0,NA,NA,NA,NA,0,1,1998,1,"1998",102
